Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Metis,53.554554712369715,-113.38386691728161,"(53.554554712369715, -113.38386691728161)",POINT (-113.38386691728161 53.554554712369715)
9341,Square Picnic Table,Wood,Aggregate,104 AVENUE NW,3210,GROVENOR,Ward Nakota Isga,53.54606027728212,-113.56844516178248,"(53.54606027728212, -113.56844516178248)",POINT (-113.56844516178248 53.54606027728212)
8130,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,Ward O-day'min,53.56168148630688,-113.51453835539087,"(53.56168148630688, -113.51453835539087)",POINT (-113.51453835539087 53.56168148630688)
88192,Square Picnic Table,Aggregate,Metal,ROSENTHAL BOULEVARD NW,4750,ROSENTHAL,Ward Nakota Isga,53.5172364664997,-113.69877565924176,"(53.5172364664997, -113.69877565924176)",POINT (-113.69877565924176 53.5172364664997)
15093,Square Picnic Table,Wood,Aggregate,124 STREET NW,5210,GRANDVIEW HEIGHTS,Ward papastew,53.49916359338674,-113.54453776704405,"(53.49916359338674, -113.54453776704405)",POINT (-113.54453776704405 53.49916359338674)
7851,Square Picnic Table,Metal,Metal,113 AVENUE NW,2330,HIGHLANDS,Ward Metis,53.56726839978828,-113.43380865119967,"(53.56726839978828, -113.43380865119967)",POINT (-113.43380865119967 53.56726839978828)
25865,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,Ward Nakota Isga,53.53986620891578,-113.54059164798056,"(53.53986620891578, -113.54059164798056)",POINT (-113.54059164798056 53.53986620891578)
34500,Square Picnic Table,Wood,Aggregate,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.527662018518654,-113.55343467460187,"(53.527662018518654, -113.55343467460187)",POINT (-113.55343467460187 53.527662018518654)
89683,Square Picnic Table,Wood,Wood,ROPER ROAD NW,6640,ROPER INDUSTRIAL,Ward Karhiio,53.49557559158917,-113.4317074091176,"(53.49557559158917, -113.4317074091176)",POINT (-113.4317074091176 53.49557559158917)
2099,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.53371262765771,-113.52426772224209,"(53.53371262765771, -113.52426772224209)",POINT (-113.52426772224209 53.53371262765771)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52899730209687,-113.54646568937275,"(53.52899730209687, -113.54646568937275)",POINT (-113.54646568937275 53.52899730209687)
6339,Square Picnic Table,Wood,Metal,SADDLEBACK ROAD NW,5460,SKYRATTLER,Ward Ipiihkoohkanipiaohtsi,53.45047605926318,-113.52426025100128,"(53.45047605926318, -113.52426025100128)",POINT (-113.52426025100128 53.45047605926318)
109489,Square Picnic Table,Wood,Aggregate,91 STREET SW,6213,SUMMERSIDE,Ward Karhiio,53.42289596828707,-113.47376638218806,"(53.42289596828707, -113.47376638218806)",POINT (-113.47376638218806 53.42289596828707)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.55671843035935,-113.4071169628668,"(53.55671843035935, -113.4071169628668)",POINT (-113.4071169628668 53.55671843035935)
16063,Square Picnic Table,Wood,Aggregate,93 AVENUE NW,4040,BELMEAD,Ward Nakota Isga,53.52606590539399,-113.63543131636708,"(53.52606590539399, -113.63543131636708)",POINT (-113.63543131636708 53.52606590539399)
23141,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Metis,53.562125870537976,-113.45613004669895,"(53.562125870537976, -113.45613004669895)",POINT (-113.45613004669895 53.562125870537976)
20249,Square Picnic Table,Composite,Metal,93 AVENUE NW,6710,STRATHEARN,Ward Metis,53.53040727333742,-113.46193674006325,"(53.53040727333742, -113.46193674006325)",POINT (-113.46193674006325 53.53040727333742)
31911,Square Picnic Table,Wood,Wood,RAINBOW VALLEY ROAD NW,5550,WHITEMUD CREEK RAVINE NORTH,Ward papastew,53.48523637649173,-113.553696951177,"(53.48523637649173, -113.553696951177)",POINT (-113.553696951177 53.48523637649173)
6304,Square Picnic Table,Wood,Aggregate,19 AVENUE NW,5250,KEHEEWIN,Ward Ipiihkoohkanipiaohtsi,53.448955472330006,-113.51293025715088,"(53.448955472330006, -113.51293025715088)",POINT (-113.51293025715088 53.448955472330006)
86853,Square Picnic Table,Composite,Metal,16 AVENUE NW,6444,LAUREL,Ward Sspomitapi,53.44211006764736,-113.38269169344386,"(53.44211006764736, -113.38269169344386)",POINT (-113.38269169344386 53.44211006764736)
5672,Square Picnic Table,Wood,Aggregate,139 AVENUE NW,2320,HAIRSINE,Ward Dene,53.60332822331725,-113.3903629164402,"(53.60332822331725, -113.3903629164402)",POINT (-113.3903629164402 53.60332822331725)
5639,Round Picnic Table,Metal,Metal,162 AVENUE NW,3180,DUNLUCE,Ward Anirniq,53.62198038364727,-113.52805036954963,"(53.62198038364727, -113.52805036954963)",POINT (-113.52805036954963 53.62198038364727)
8130,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,Ward O-day'min,53.56163665799635,-113.51451299328765,"(53.56163665799635, -113.51451299328765)",POINT (-113.51451299328765 53.56163665799635)
63852,Square Picnic Table,Wood,Metal,TAMARACK GREEN NW,6443,TAMARACK,Ward Sspomitapi,53.46982474278208,-113.35968681447407,"(53.46982474278208, -113.35968681447407)",POINT (-113.35968681447407 53.46982474278208)
8130,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,Ward O-day'min,53.56172523132528,-113.5144804695536,"(53.56172523132528, -113.5144804695536)",POINT (-113.5144804695536 53.56172523132528)
31910,Square Picnic Table,Wood,Wood,RAINBOW VALLEY ROAD NW,5550,WHITEMUD CREEK RAVINE NORTH,Ward papastew,53.4849775793553,-113.55574350634849,"(53.4849775793553, -113.55574350634849)",POINT (-113.55574350634849 53.4849775793553)
12344,Square Picnic Table,Wood,Aggregate,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.5343242423546,-113.53784162764869,"(53.5343242423546, -113.53784162764869)",POINT (-113.53784162764869 53.5343242423546)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Metis,53.554721403850216,-113.38460721290248,"(53.554721403850216, -113.38460721290248)",POINT (-113.38460721290248 53.554721403850216)
31110,Square Picnic Table,Wood,Aggregate,WELLINGTON CRESCENT NW,3381,RIVER VALLEY GLENORA,Ward Nakota Isga,53.539324782038044,-113.54467886254407,"(53.539324782038044, -113.54467886254407)",POINT (-113.54467886254407 53.539324782038044)
23769,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.5095423790177,-113.55418160292932,"(53.5095423790177, -113.55418160292932)",POINT (-113.55418160292932 53.5095423790177)
23336,Square Picnic Table,Wood,Metal,KEILLOR TRAIL NW,5400,RIVER VALLEY WHITEMUD,Ward papastew,53.50416220320448,-113.55962540418666,"(53.50416220320448, -113.55962540418666)",POINT (-113.55962540418666 53.50416220320448)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.55580865155614,-113.4065910145844,"(53.55580865155614, -113.4065910145844)",POINT (-113.4065910145844 53.55580865155614)
5003,Square Picnic Table,Wood,Aggregate,165 STREET NW,4590,WEST MEADOWLARK PARK,Ward sipiwiyiniwak,53.52954447280012,-113.60678466628018,"(53.52954447280012, -113.60678466628018)",POINT (-113.60678466628018 53.52954447280012)
10862,Square Picnic Table,Wood,Metal,87 AVENUE NW,6350,KENILWORTH,Ward Metis,53.522295962359216,-113.43682631719989,"(53.522295962359216, -113.43682631719989)",POINT (-113.43682631719989 53.522295962359216)
40281,Square Picnic Table,Wood,Aggregate,BUTTERWORTH DRIVE NW,5100,BULYEA HEIGHTS,Ward pihesiwin,53.47743134464217,-113.56275734182853,"(53.47743134464217, -113.56275734182853)",POINT (-113.56275734182853 53.47743134464217)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.524457879470496,-113.54439869841825,"(53.524457879470496, -113.54439869841825)",POINT (-113.54439869841825 53.524457879470496)
3617,Square Picnic Table,Wood,Aggregate,23 STREET NW,2030,BANNERMAN,Ward Dene,53.60401114912759,-113.37863984294373,"(53.60401114912759, -113.37863984294373)",POINT (-113.37863984294373 53.60401114912759)
5748,Square Picnic Table,Wood,Metal,140 AVENUE NW,2580,NORTHMOUNT,Ward tastawiyiniwak,53.60342643020041,-113.48153943782127,"(53.60342643020041, -113.48153943782127)",POINT (-113.48153943782127 53.60342643020041)
96704,Square Picnic Table,Wood,Metal,CAPILANO PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.561293494032356,-113.42167419529186,"(53.561293494032356, -113.42167419529186)",POINT (-113.42167419529186 53.561293494032356)
25100,Square Picnic Table,Wood,Metal,ROSSDALE ROAD NW,1220,ROSSDALE,Ward O-day'min,53.53708112784689,-113.4898478948326,"(53.53708112784689, -113.4898478948326)",POINT (-113.4898478948326 53.53708112784689)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52771341601251,-113.54179324372245,"(53.52771341601251, -113.54179324372245)",POINT (-113.54179324372245 53.52771341601251)
19749,Square Picnic Table,Wood,Aggregate,WINDSOR ROAD NW,5580,WINDSOR PARK,Ward papastew,53.52515236370108,-113.5357300960732,"(53.52515236370108, -113.5357300960732)",POINT (-113.5357300960732 53.52515236370108)
305,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Metis,53.5626908793565,-113.45416288845368,"(53.5626908793565, -113.45416288845368)",POINT (-113.45416288845368 53.5626908793565)
19673,Square Picnic Table,Wood,Metal,86 AVENUE NW,5480,STRATHCONA,Ward papastew,53.52141070862729,-113.49698433056993,"(53.52141070862729, -113.49698433056993)",POINT (-113.49698433056993 53.52141070862729)
21810,Square Picnic Table,Wood,Aggregate,66 STREET NW,6510,MILL WOODS PARK,Ward Karhiio,53.45516144685895,-113.43589646307132,"(53.45516144685895, -113.43589646307132)",POINT (-113.43589646307132 53.45516144685895)
34372,Square Picnic Table,Wood,Aggregate,KLARVATTEN ROAD NW,2440,KLARVATTEN,Ward tastawiyiniwak,53.63327258835929,-113.47554454376704,"(53.63327258835929, -113.47554454376704)",POINT (-113.47554454376704 53.63327258835929)
5227,Square Picnic Table,Concrete,Aggregate,167 STREET NW,4140,ELMWOOD,Ward sipiwiyiniwak,53.51540080643237,-113.6083553717851,"(53.51540080643237, -113.6083553717851)",POINT (-113.6083553717851 53.51540080643237)
14102,Square Picnic Table,Wood,Aggregate,144A STREET NW,3300,MCQUEEN,Ward Nakota Isga,53.554276346986036,-113.56990281021207,"(53.554276346986036, -113.56990281021207)",POINT (-113.56990281021207 53.554276346986036)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52984880960931,-113.54790235092811,"(53.52984880960931, -113.54790235092811)",POINT (-113.54790235092811 53.52984880960931)
3804,Square Picnic Table,Metal,Metal,144 AVENUE NW,2260,EVANSDALE,Ward tastawiyiniwak,53.60662516020212,-113.47552547546677,"(53.60662516020212, -113.47552547546677)",POINT (-113.47552547546677 53.60662516020212)
23769,Square Picnic Table,Wood,Aggregate,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.509612868859676,-113.55272692305,"(53.509612868859676, -113.55272692305)",POINT (-113.55272692305 53.509612868859676)
8809,Square Picnic Table,Metal,Metal,94 STREET NW,2450,LAGO LINDO,Ward tastawiyiniwak,53.63443348573039,-113.48721961160196,"(53.63443348573039, -113.48721961160196)",POINT (-113.48721961160196 53.63443348573039)
48998,Square Picnic Table,Wood,Metal,THIBAULT WYND NW,5640,TERWILLEGAR TOWNE,Ward pihesiwin,53.44662378056388,-113.5873775642502,"(53.44662378056388, -113.5873775642502)",POINT (-113.5873775642502 53.44662378056388)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.55772065869263,-113.40603741311202,"(53.55772065869263, -113.40603741311202)",POINT (-113.40603741311202 53.55772065869263)
48819,Square Picnic Table,Wood,Metal,129 AVENUE NW,3260,LAUDERDALE,Ward Anirniq,53.58618023526546,-113.51192721113888,"(53.58618023526546, -113.51192721113888)",POINT (-113.51192721113888 53.58618023526546)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.5106826802121,-113.54862072866722,"(53.5106826802121, -113.54862072866722)",POINT (-113.54862072866722 53.5106826802121)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.509353419335326,-113.55039296715826,"(53.509353419335326, -113.55039296715826)",POINT (-113.55039296715826 53.509353419335326)
22855,Square Picnic Table,Wood,Metal,28 AVENUE NW,6510,MILL WOODS PARK,Ward Karhiio,53.45758469672799,-113.4382574004118,"(53.45758469672799, -113.4382574004118)",POINT (-113.4382574004118 53.45758469672799)
92815,Square Picnic Table,Wood,Metal,139 AVENUE NW,2400,KILDARE,Ward tastawiyiniwak,53.60288777314928,-113.4582281210829,"(53.60288777314928, -113.4582281210829)",POINT (-113.4582281210829 53.60288777314928)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.534023225400084,-113.5215096456653,"(53.534023225400084, -113.5215096456653)",POINT (-113.5215096456653 53.534023225400084)
31186,Square Picnic Table,Wood,Aggregate,109A AVENUE NW,3310,NORTH GLENORA,Ward Nakota Isga,53.55528817394412,-113.55689782855762,"(53.55528817394412, -113.55689782855762)",POINT (-113.55689782855762 53.55528817394412)
11843,Square Picnic Table,Wood,Metal,116 STREET NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.53838714541482,-113.52159784244803,"(53.53838714541482, -113.52159784244803)",POINT (-113.52159784244803 53.53838714541482)
19739,Square Picnic Table,Wood,Aggregate,73 AVENUE NW,5040,BELGRAVIA,Ward papastew,53.50968077401261,-113.53056314431882,"(53.50968077401261, -113.53056314431882)",POINT (-113.53056314431882 53.50968077401261)
23202,Square Picnic Table,Wood,Metal,99 AVENUE NW,1090,DOWNTOWN,Ward O-day'min,53.5367771126173,-113.5005434891101,"(53.5367771126173, -113.5005434891101)",POINT (-113.5005434891101 53.5367771126173)
3080,Square Picnic Table,Wood,Aggregate,GATEWAY BOULEVARD NW,6110,CPR IRVINE,Ward papastew,53.51771961436417,-113.4945545512946,"(53.51771961436417, -113.4945545512946)",POINT (-113.4945545512946 53.51771961436417)
31806,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.52812580245508,-113.50713702752027,"(53.52812580245508, -113.50713702752027)",POINT (-113.50713702752027 53.52812580245508)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.532851558399514,-113.51716110028362,"(53.532851558399514, -113.51716110028362)",POINT (-113.51716110028362 53.532851558399514)
72184,Square Picnic Table,Wood,Metal,QUEEN ELIZABETH PARK ROAD NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.52472089477754,-113.50001344406022,"(53.52472089477754, -113.50001344406022)",POINT (-113.50001344406022 53.52472089477754)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.53434548346118,-113.52406992176557,"(53.53434548346118, -113.52406992176557)",POINT (-113.52406992176557 53.53434548346118)
3129,Square Picnic Table,Wood,Aggregate,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.526583650245314,-113.50871783026227,"(53.526583650245314, -113.50871783026227)",POINT (-113.50871783026227 53.526583650245314)
19147,Square Picnic Table,Wood,Metal,31 AVENUE NW,6570,PARSONS INDUSTRIAL,Ward Karhiio,53.46098560908944,-113.47971115139131,"(53.46098560908944, -113.47971115139131)",POINT (-113.47971115139131 53.46098560908944)
306,Round Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Metis,53.56226142022748,-113.45522549700925,"(53.56226142022748, -113.45522549700925)",POINT (-113.45522549700925 53.56226142022748)
7851,Round Picnic Table,Metal,Metal,113 AVENUE NW,2330,HIGHLANDS,Ward Metis,53.56783444064701,-113.43411460657806,"(53.56783444064701, -113.43411460657806)",POINT (-113.43411460657806 53.56783444064701)
23313,Square Picnic Table,Concrete,Aggregate,53 AVENUE NW,5080,BRANDER GARDENS,Ward pihesiwin,53.49126381872462,-113.57680621346785,"(53.49126381872462, -113.57680621346785)",POINT (-113.57680621346785 53.49126381872462)
4042,Square Picnic Table,Wood,Aggregate,132A STREET NW,3430,WELLINGTON,Ward Anirniq,53.59649470476395,-113.55046784800689,"(53.59649470476395, -113.55046784800689)",POINT (-113.55046784800689 53.59649470476395)
20897,Square Picnic Table,Composite,Metal,101 STREET SW,6214,ELLERSLIE INDUSTRIAL,Ward Karhiio,53.41048781614103,-113.48992414830053,"(53.41048781614103, -113.48992414830053)",POINT (-113.48992414830053 53.41048781614103)
36489,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Metis,53.55814946465936,-113.40535383383403,"(53.55814946465936, -113.40535383383403)",POINT (-113.40535383383403 53.55814946465936)
62218,Square Picnic Table,Metal,Metal,BORDEN PARK ROAD NW,1240,VIRGINIA PARK,Ward Metis,53.56357674985611,-113.45769920797866,"(53.56357674985611, -113.45769920797866)",POINT (-113.45769920797866 53.56357674985611)
8595,Square Picnic Table,Wood,Metal,124 AVENUE NW,1080,DELTON,Ward Metis,53.57952552315177,-113.47584807393457,"(53.57952552315177, -113.47584807393457)",POINT (-113.47584807393457 53.57952552315177)
20598,Square Picnic Table,Wood,Metal,54 STREET NW,6061,CAPILANO,Ward Metis,53.555767133342904,-113.42240708167338,"(53.555767133342904, -113.42240708167338)",POINT (-113.42240708167338 53.555767133342904)
3129,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.52621009624949,-113.50903931421371,"(53.52621009624949, -113.50903931421371)",POINT (-113.50903931421371 53.52621009624949)
60113,Square Picnic Table,Wood,Metal,119 AVENUE NW,2010,ABBOTTSFIELD,Ward Metis,53.57267869464575,-113.38968023625999,"(53.57267869464575, -113.38968023625999)",POINT (-113.38968023625999 53.57267869464575)
19560,Square Picnic Table,Wood,Wood,LANSDOWNE DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,Ward papastew,53.48559888678486,-113.55549532037391,"(53.48559888678486, -113.55549532037391)",POINT (-113.55549532037391 53.48559888678486)
25865,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,Ward Nakota Isga,53.53965938130088,-113.54163763652876,"(53.53965938130088, -113.54163763652876)",POINT (-113.54163763652876 53.53965938130088)
12225,Square Picnic Table,Wood,Metal,121 AVENUE NW,2560,NEWTON,Ward Metis,53.575241297094884,-113.42741361198686,"(53.575241297094884, -113.42741361198686)",POINT (-113.42741361198686 53.575241297094884)
92325,Square Picnic Table,Wood,Metal,27 AVENUE NW,4464,THE UPLANDS,Ward sipiwiyiniwak,53.458872432941085,-113.66002955150879,"(53.458872432941085, -113.66002955150879)",POINT (-113.66002955150879 53.458872432941085)
6588,Square Picnic Table,Wood,Metal,FULTON ROAD NW,6240,FULTON PLACE,Ward Metis,53.546352177374125,-113.42477263942943,"(53.546352177374125, -113.42477263942943)",POINT (-113.42477263942943 53.546352177374125)
21823,Square Picnic Table,Wood,Metal,23 AVENUE NW,6510,MILL WOODS PARK,Ward Karhiio,53.455745636948905,-113.43690572563548,"(53.455745636948905, -113.43690572563548)",POINT (-113.43690572563548 53.455745636948905)
4841,Square Picnic Table,Metal,Metal,40 AVENUE NW,5430,ROYAL GARDENS,Ward papastew,53.47721269697082,-113.53361708173317,"(53.47721269697082, -113.53361708173317)",POINT (-113.53361708173317 53.47721269697082)
6111,Square Picnic Table,Concrete,Aggregate,MILL WOODS ROAD SOUTH NW,6460,MEYOKUMIN,Ward Karhiio,53.446022190104294,-113.42912154142259,"(53.446022190104294, -113.42912154142259)",POINT (-113.42912154142259 53.446022190104294)
12344,Square Picnic Table,Wood,Metal,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.534466545863054,-113.53899806077877,"(53.534466545863054, -113.53899806077877)",POINT (-113.53899806077877 53.534466545863054)
92815,Square Picnic Table,Wood,Metal,139 AVENUE NW,2400,KILDARE,Ward tastawiyiniwak,53.60271228596825,-113.45808536725559,"(53.60271228596825, -113.45808536725559)",POINT (-113.45808536725559 53.60271228596825)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Metis,53.55390408824055,-113.38492017810873,"(53.55390408824055, -113.38492017810873)",POINT (-113.38492017810873 53.55390408824055)
23336,Square Picnic Table,Wood,Metal,KEILLOR TRAIL NW,5400,RIVER VALLEY WHITEMUD,Ward papastew,53.504686231148625,-113.558024863434,"(53.504686231148625, -113.558024863434)",POINT (-113.558024863434 53.504686231148625)
9648,Square Picnic Table,Wood,Aggregate,109 AVENUE NW,1180,QUEEN MARY PARK,Ward O-day'min,53.55427580030603,-113.52400578244917,"(53.55427580030603, -113.52400578244917)",POINT (-113.52400578244917 53.55427580030603)
20167,Square Picnic Table,Wood,Metal,88 STREET NW,6492,MILL CREEK RAVINE SOUTH,Ward papastew,53.505166801892734,-113.46359302853726,"(53.505166801892734, -113.46359302853726)",POINT (-113.46359302853726 53.505166801892734)
588,Square Picnic Table,Wood,Aggregate,82 STREET NW,1160,PARKDALE,Ward Metis,53.568059644901645,-113.46703776311305,"(53.568059644901645, -113.46703776311305)",POINT (-113.46703776311305 53.568059644901645)
6209,Square Picnic Table,Wood,Metal,MILL WOODS ROAD SOUTH NW,6200,EKOTA,Ward Karhiio,53.44550538463426,-113.44667102984279,"(53.44550538463426, -113.44667102984279)",POINT (-113.44667102984279 53.44550538463426)
13943,Square Picnic Table,Wood,Metal,116 AVENUE NW,2100,BEVERLY HEIGHTS,Ward Metis,53.56891320982595,-113.40132461304576,"(53.56891320982595, -113.40132461304576)",POINT (-113.40132461304576 53.56891320982595)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Metis,53.55460433500377,-113.3855812822723,"(53.55460433500377, -113.3855812822723)",POINT (-113.3855812822723 53.55460433500377)
17651,Square Picnic Table,Wood,Metal,BLACKWOOD CRESCENT SW,5590,BLACKBURNE,Ward Ipiihkoohkanipiaohtsi,53.429534970345046,-113.49949938484734,"(53.429534970345046, -113.49949938484734)",POINT (-113.49949938484734 53.429534970345046)
305,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Metis,53.562355628257606,-113.45365394543903,"(53.562355628257606, -113.45365394543903)",POINT (-113.45365394543903 53.562355628257606)
